parent_category;name;link;description
"GAZZAL";"BABY WOOL";"https://www.sklep-ik.pl/tag-produktu/gazzal-baby-wool/";"<strong><span style=""color: #993366;"">25% TANIEJ</span></strong><br/>40% wełna merynosa, 40% poliakryl, 20% syntetyczny kaszmir<br/>motek 50g = 175m"
"Włóczki";"GUSTO";"https://www.sklep-ik.pl/gusto-wool/";""
"GUSTO";"CARMEN";"https://www.sklep-ik.pl/tag-produktu/wloczka-gusto-carmen/";"<span style=""color: #993366;""><b>25% TANIEJ</b></span><br/>80% wełna merynosa, 20% nylon<br/>motek 100g = 400m"
"GUSTO";"CORE";"https://www.sklep-ik.pl/tag-produktu/wloczka-gusto-core/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>80% wełna merynosa, 20% nylon<br/>motek 100g = 400m"
"GUSTO";"ECHOES";"https://www.sklep-ik.pl/tag-produktu/wloczka-gusto-echoes/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>80% wełna merynosa, 20% nylon<br/>zestaw 100g = 400m"
"GUSTO";"NOKTA SOCK";"https://www.sklep-ik.pl/tag-produktu/gusto-nokta-sock/";"<strong><span style=""color: #993366;"">25% TANIEJ</span></strong><br/>80% wełna merynosa, 20% nylon<br/>motek 100g = 400m"
"GUSTO";"OLIO";"https://www.sklep-ik.pl/tag-produktu/wloczka-gusto-olio/";"<span style=""color: #993366;""><b>25% TANIEJ</b></span><br/>100% wełna merynosa<br/>motek 100g = 280m"
"Włóczki";"MALABRIGO";"https://www.sklep-ik.pl/malabrigo-yarn/";""
"MALABRIGO";"ARROYO";"https://www.sklep-ik.pl/tag-produktu/malabrigo-arroyo/";"<strong><span style=""color: #993366;"">15% TANIEJ</span></strong><br/>100% wełna merynosa<br/>motek 100g = 306m"
"MALABRIGO";"LACE";"https://www.sklep-ik.pl/tag-produktu/malabrigo-lace/";"<strong><span style=""color: #993366;"">15% TANIEJ</span></strong><br/>100% wełna merynosa (Baby Merino)<br/>motek 50g = 430m"
"MALABRIGO";"MECHITA";"https://www.sklep-ik.pl/tag-produktu/wloczka-malabrigo-mechita/";"<strong><span style=""color: #993366;"">15% TANIEJ</span></strong><br/>100% wełna merynosa<br/>motek 100g = 384m"
"MALABRIGO";"SEIS CABOS";"https://www.sklep-ik.pl/tag-produktu/wloczka-malabrigo-seis-cabos/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna merynosa<br/>motek 100g = 200m"
"MALABRIGO";"SILKPACA";"https://www.sklep-ik.pl/tag-produktu/malabrigo-silkpaca/";"<strong><span style=""color: #993366;"">15% TANIEJ</span></strong><br/>70% baby alpaca, 30% jedwab<br/>motek 50g = 384m"
"MALABRIGO";"SOCK";"https://www.sklep-ik.pl/tag-produktu/malabrigo-sock/";"<strong><span style=""color: #993366;"">15% TANIEJ</span></strong><br/>100% wełna merynosa<br/>motek 100g = 402m"
"MALABRIGO";"ULTIMATE SOCK";"https://www.sklep-ik.pl/tag-produktu/wloczka-malabrigo-ultimate-sock/";"<strong><span style=""color: #993366;"">15% TANIEJ</span></strong><br/>75% wełna merynosa, 25% nylon<br/>motek 100g = 385m"
"Włóczki";"MIDARA";"https://www.sklep-ik.pl/midara/";""
"MIDARA";"AMBER";"https://www.sklep-ik.pl/tag-produktu/midara-amber/";"<strong><span style=""color: #993366;"">15,90 zł<br/></span></strong>100% bawełna<br/>motek 100g = 660m"
"MIDARA";"ANGORA 2";"https://www.sklep-ik.pl/tag-produktu/wloczka-midara-angora-2/";"<strong><span style=""color: #993366;"">25,10 zł<br/></span></strong>50% mohair, 30% akryl, 20% wełna<br/>motek 100g = 750m"
"MIDARA";"ASTRAL";"https://www.sklep-ik.pl/tag-produktu/wloczka-midara-astral/";"<strong><span style=""color: #993366;"">30% TANIEJ</span></strong><br/>75% wełna, 25% poliamid<br/>motek 100g = 420m"
"MIDARA";"HAAPSALU";"https://www.sklep-ik.pl/tag-produktu/midara-haapsalu/";"<strong><span style=""color: #993366;"">25,10 zł</span></strong><br/>100% wełna merino<br/>motek 100g = 1400m"
"Włóczki";"ROSÁRIOS 4";"https://www.sklep-ik.pl/wloczka-rosarios-4/";""
"ROSÁRIOS 4";"AURORA PRINT";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-aurora-print/";"<span style=""color: #993366;""><b>40% TANIEJ</b></span><br/>70% mohair, 30% jedwab<br/>motek 25g = 210m"
"ROSÁRIOS 4";"CAMPANINA";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-campanina/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>70% merino, 30% poliamid<br/>motek 100g = 350m"
"ROSÁRIOS 4";"INVICTA";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-invicta/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>51% wełna, 49% akryl<br/>motek 150g = 520m"
"ROSÁRIOS 4";"LAR, DOCE LAR!";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-lar-doce-lar/";"<strong><span style=""color: #993366;"">40% TANIEJ</span></strong><br/>100% bawełna<br/>motek 200g = 230m"
"ROSÁRIOS 4";"MARON";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-maron/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>100% wełna<br/>motek 100g = 100m"
"ROSÁRIOS 4";"MERIAN";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-merian/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna merino<br/>motek 50g = 220m"
"ROSÁRIOS 4";"PLUMA";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-pluma/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>100% akryl<br/>motek 50g = 250m"
"ROSÁRIOS 4";"PRINCIPE REAL";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-principe-real/";"<span style=""color: #993366;""><b>20% TANIEJ</b></span><br/>50% len, 36% bawełna, 14% jedwab<br/>motek 50g = 120m"
"ROSÁRIOS 4";"TROCA-TINTAS";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-troca-tintas/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% bawełna<br/>motek 100g = 320m"
"ROSÁRIOS 4";"VIRA-VENTO";"https://www.sklep-ik.pl/tag-produktu/wloczka-rosarios-4-vira-vento/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% bawełna<br/>motek 50g = 150m"
"Włóczki";"SCHEEPJES";"https://www.sklep-ik.pl/wloczka-scheepjes/";""
"SCHEEPJES";"OUR TRIBE";"https://www.sklep-ik.pl/tag-produktu/scheepjes-our-tribe/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>70% merino, 30% poliamid<br/>motek 100g = 420m"
"SCHEEPJES";"AFTER PARTY";"https://www.sklep-ik.pl/kategoria-produktu/narzedzia/wzory-after-party/";"<span style=""color: #993366;""><b>50% TANIEJ</b></span><br/>wzory<br/>drukowana broszura"
"SCHEEPJES";"FESTIVAL OF LIGHTS";"https://www.sklep-ik.pl/tag-produktu/scheepjes-festival-of-lights/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>zestawy do wykonania<br/>kolorowego koca"
"Włóczki";"SESIA";"https://www.sklep-ik.pl/sesia/";""
"SESIA";"ALASKA";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-alaska/";"<strong><span style=""color: #993366;"">27,90 zł</span></strong><br/>48% alpaka, 31% wełna owcza, 14% poliamid, 7% kaszmir<br/>motek 50g = 200m"
"SESIA";"CABLE 5 CANVAS";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-cable-5-canvas/";"<strong><span style=""color: #993366;"">30% TANIEJ</span></strong><br/>100% merceryzowana bawełna<br/>motek 50g = 215m"
"SESIA";"ELVIS";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-elvis/";"<strong><span style=""color: #993366;"">30% TANIEJ</span></strong><br/>100% poliamid<br/>motek 50g = 220m"
"SESIA";"FINISSIMO";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-finissimo/";"<strong><span style=""color: #993366;"">23,50 zł</span></strong><br/>100% wełna merynosa<br/>motek 50g = 750m"
